segment_id,valence
10,positive
11,positive
12,positive
13,positive
14,positive
15,positive
16,positive
17,positive
18,positive
19,positive
20,positive
21,positive
22,positive
23,positive
24,positive
25,positive
26,positive
27,positive
28,positive
29,positive
30,positive
31,positive
32,positive
33,positive
34,positive
35,positive
36,positive
37,positive
38,positive
39,positive
40,positive
41,positive
42,positive
43,positive
44,positive
45,positive
46,positive
47,positive
48,positive
49,positive
50,positive
51,positive
52,positive
53,positive
54,positive
55,positive
56,positive
57,positive
58,positive
59,positive
60,positive
61,positive
62,positive
63,positive
64,positive
65,positive
66,positive
67,positive
68,positive
69,positive
70,positive
71,positive
72,positive
73,positive
74,positive
75,positive
76,positive
77,positive
78,positive
79,positive
80,neutral
81,neutral
82,neutral
83,neutral
84,neutral
85,neutral
86,neutral
87,neutral
88,neutral
89,neutral
90,positive
91,positive
92,positive
93,positive
94,positive
95,positive
96,positive
97,positive
98,positive
99,positive
100,negative
101,negative
102,negative
103,negative
104,negative
105,negative
106,negative
107,negative
108,negative
109,negative
160,positive
161,positive
162,positive
163,positive
164,positive
165,positive
166,positive
167,positive
168,positive
169,positive
170,positive
171,positive
172,positive
173,positive
174,positive
175,positive
176,positive
177,positive
178,positive
179,positive
180,positive
181,positive
182,positive
183,positive
184,positive
185,positive
186,positive
187,positive
188,positive
189,positive
190,positive
191,positive
192,positive
193,positive
194,positive
195,positive
196,positive
197,positive
198,positive
199,positive
210,positive
211,positive
212,positive
213,positive
214,positive
215,positive
216,positive
217,positive
218,positive
219,positive
220,positive
221,positive
222,positive
223,positive
224,positive
225,positive
226,positive
227,positive
228,positive
229,positive
230,positive
231,positive
232,positive
233,positive
234,positive
235,positive
236,positive
237,positive
238,positive
239,positive
240,positive
241,positive
242,positive
243,positive
244,positive
245,positive
246,positive
247,positive
248,positive
249,positive
250,positive
251,positive
252,positive
253,positive
254,positive
255,positive
256,positive
257,positive
258,positive
259,positive
260,positive
261,positive
262,positive
263,positive
264,positive
265,positive
266,positive
267,positive
268,positive
269,positive
270,positive
271,positive
272,positive
273,positive
274,positive
275,positive
276,positive
277,positive
278,positive
279,positive
280,positive
281,positive
282,positive
283,positive
284,positive
285,positive
286,positive
287,positive
288,positive
289,positive
290,positive
291,positive
292,positive
293,positive
294,positive
295,positive
296,positive
297,positive
298,positive
299,positive
310,positive
311,positive
312,positive
313,positive
314,positive
315,positive
316,positive
317,positive
318,positive
319,positive
320,positive
321,positive
322,positive
323,positive
324,positive
325,positive
326,positive
327,positive
328,positive
329,positive
330,positive
331,positive
332,positive
333,positive
334,positive
335,positive
336,positive
337,positive
338,positive
339,positive
340,positive
341,positive
342,positive
343,positive
344,positive
345,positive
346,positive
347,positive
348,positive
349,positive
350,positive
351,positive
352,positive
353,positive
354,positive
355,positive
356,positive
357,positive
358,positive
359,positive
360,positive
361,positive
362,positive
363,positive
364,positive
365,positive
366,positive
367,positive
368,positive
369,positive
370,positive
371,positive
372,positive
373,positive
374,positive
375,positive
376,positive
377,positive
378,positive
379,positive
380,positive
381,positive
382,positive
383,positive
384,positive
385,positive
386,positive
387,positive
388,positive
389,positive
390,positive
391,positive
392,positive
393,positive
394,positive
395,positive
396,positive
397,positive
398,positive
399,positive
410,positive
411,positive
412,positive
413,positive
414,positive
415,positive
416,positive
417,positive
418,positive
419,positive
420,positive
421,positive
422,positive
423,positive
424,positive
425,positive
426,positive
427,positive
428,positive
429,positive
430,positive
431,positive
432,positive
433,positive
434,positive
435,positive
436,positive
437,positive
438,positive
439,positive
440,positive
441,positive
442,positive
443,positive
444,positive
445,positive
446,positive
447,positive
448,positive
449,positive
450,positive
451,positive
452,positive
453,positive
454,positive
455,positive
456,positive
457,positive
458,positive
459,positive
460,positive
461,positive
462,positive
463,positive
464,positive
465,positive
466,positive
467,positive
468,positive
469,positive
470,positive
471,positive
472,positive
473,positive
474,positive
475,positive
476,positive
477,positive
478,positive
479,positive
480,positive
481,positive
482,positive
483,positive
484,positive
485,positive
486,positive
487,positive
488,positive
489,positive
490,positive
491,positive
492,positive
493,positive
494,positive
495,positive
496,positive
497,positive
498,positive
499,positive
510,positive
511,positive
512,positive
513,positive
514,positive
515,positive
516,positive
517,positive
518,positive
519,positive
520,positive
521,positive
522,positive
523,positive
524,positive
525,positive
526,positive
527,positive
528,positive
529,positive
530,positive
531,positive
532,positive
533,positive
534,positive
535,positive
536,positive
537,positive
538,positive
539,positive
540,positive
541,positive
542,positive
543,positive
544,positive
545,positive
546,positive
547,positive
548,positive
549,positive
550,positive
551,positive
552,positive
553,positive
554,positive
555,positive
556,positive
557,positive
558,positive
559,positive
560,positive
561,positive
562,positive
563,positive
564,positive
565,positive
566,positive
567,positive
568,positive
569,positive
570,positive
571,positive
572,positive
573,positive
574,positive
575,positive
576,positive
577,positive
578,positive
579,positive
580,positive
581,positive
582,positive
583,positive
584,positive
585,positive
586,positive
587,positive
588,positive
589,positive
590,positive
591,positive
592,positive
593,positive
594,positive
595,positive
596,positive
597,positive
598,positive
599,positive
610,positive
611,positive
612,positive
613,positive
614,positive
615,positive
616,positive
617,positive
618,positive
619,positive
620,positive
621,positive
622,positive
623,positive
624,positive
625,positive
626,positive
627,positive
628,positive
629,positive
630,positive
631,positive
632,positive
633,positive
634,positive
635,positive
636,positive
637,positive
638,positive
639,positive
640,positive
641,positive
642,positive
643,positive
644,positive
645,positive
646,positive
647,positive
648,positive
649,positive
650,positive
651,positive
652,positive
653,positive
654,positive
655,positive
656,positive
657,positive
658,positive
659,positive
660,positive
661,positive
662,positive
663,positive
664,positive
665,positive
666,positive
667,positive
668,positive
669,positive
670,positive
671,positive
672,positive
673,positive
674,positive
675,positive
676,positive
677,positive
678,positive
679,positive
680,positive
681,positive
682,positive
683,positive
684,positive
685,positive
686,positive
687,positive
688,positive
689,positive
690,positive
691,positive
692,positive
693,positive
694,positive
695,positive
696,positive
697,positive
698,positive
699,positive
710,positive
711,positive
712,positive
713,positive
714,positive
715,positive
716,positive
717,positive
718,positive
719,positive
720,positive
721,positive
722,positive
723,positive
724,positive
725,positive
726,positive
727,positive
728,positive
729,positive
730,positive
731,positive
732,positive
733,positive
734,positive
735,positive
736,positive
737,positive
738,positive
739,positive
